== TRUE POSITIVES (103) ==
fathom/apps/arbwatch/main.hl:500:9 | hashmap-insert | INVOKED | DislocationCompute::on_book | tob.set: TobSlot.packed String refreshed per book msg; slow leak: string anchor per set, md rate, long-lived child
pond/websocket/server.hl:258:35 | struct WsError | LOOP | WsServerConn::read_msg | static-literal last_error store on close path; read_msg returns false immediately
pond/websocket/server.hl:323:39 | struct WsError | LOOP | WsServerConn::pump_recv | static-literal last_error store; pump_recv returns false immediately after
pond/websocket/server.hl:347:35 | struct WsError | LOOP | WsServerConn::pump_recv | static-literal last_error store; returns false immediately
-- GAP-SCALAR-UPSERT (17) --
fathom/apps/arbwatch/main.hl:205:9 | hashmap-insert | INVOKED | DislocationCoord::dem_set | DemandSlot = key + Int count; leg-key domain bounded by config/markets resolve_legs; in-place overwrite
fathom/apps/arbwatch/main.hl:216:9 | hashmap-insert | INVOKED | DislocationCoord::sa_set | SigActiveSlot = key + Bool; product|instrument domain bounded by config instruments; in-place overwrite
fathom/apps/arbwatch/main.hl:401:30 | hashmap-insert | LOOP | DislocationCoord::on_sig_unsub_all | re-sets existing demand keys to count 0; scalar cell, bounded key domain
fathom/apps/ledger/main.hl:389:25 | hashmap-insert | INVOKED | LedgerQueryHandler::replay_pair | basis.set CostSlot (key + Decimals); desk|symbol bounded; invoked from per-request HTTP reattribute handler
fathom/apps/ledger/main.hl:556:9 | hashmap-insert | INVOKED | Ledger::bal_add | BalSlot = key + Decimal (no String/Bytes/compound value); venue|asset domain bounded; in-place overwrite
fathom/apps/ledger/main.hl:593:9 | hashmap-insert | INVOKED | Ledger::cb_apply | CostSlot = key + two Decimals; desk|symbol domain bounded; in-place overwrite
fathom/apps/spectrum/main.hl:181:9 | hashmap-insert | INVOKED | SpectrumCoord::dem_set | DemandSlot = key + Int; leg domain bounded by config/markets; in-place overwrite
fathom/apps/spectrum/main.hl:192:9 | hashmap-insert | INVOKED | SpectrumCoord::sa_set | SigActiveSlot = key + Bool; bounded product|instrument domain; in-place overwrite
fathom/apps/spectrum/main.hl:369:30 | hashmap-insert | LOOP | SpectrumCoord::on_sig_unsub_all | zero-out of existing demand keys; scalar cell, bounded domain
fathom/apps/theo/main.hl:312:9 | hashmap-insert | INVOKED | TheoCoord::dem_set | DemandSlot = key + Int; config-bounded leg domain; in-place overwrite
fathom/apps/theo/main.hl:398:9 | hashmap-insert | INVOKED | TheoCoord::sa_set | SigActiveSlot = key + Bool; bounded domain; in-place overwrite
fathom/apps/theo/main.hl:596:30 | hashmap-insert | LOOP | TheoCoord::on_sig_unsub_all | zero-out of existing keys; scalar cell, bounded domain
pond/agent/embeddings/embeddings.hl:263:13 | vec-insert | LOOP | Store::remove_at | flat.set Float cell, in-place; loop bounded by current row count, balanced by pops
pond/pq/pool.hl:95:17 | vec-insert | LOOP | PgPool::__acquire | busy.set(idx,1) Int cell in-place; loop capped at self.n (pool size)
pond/tui/screen.hl:200:17 | vec-insert | LOOP | Screen::flush | prev.set(idx, c) overwrites existing index in place; all-scalar Cell, bounded index domain w*h
pond/tui/screen.hl:71:13 | vec-insert | LOOP | Screen::clear | vec.set overwrites existing index (0..w*h) in place; Cell is all-scalar (4 Ints), no anchor
pond/tui/screen.hl:80:9 | vec-insert | INVOKED | Screen::set_cell | set_cell overwrites bounds-checked index 0..w*h in place; all-scalar Cell, no growth
-- GAP-SHORT-LIVED (13) --
fathom/apps/smoke-evm-discovery/main.hl:178:12 | struct disc::FactorySpec | INVOKED | factory_at | one-shot smoke: Main.run() scans nfac factories, prints totals, returns — process exits
fathom/apps/smoke-evm-discovery/main.hl:187:12 | struct disc::FactorySpec | INVOKED | parse_factory_rec | same one-shot program; FactorySpec per config factory (bounded) then exit
fathom/apps/smoke-realized-pnl/main.hl:153:47 | struct CostSlot | LOOP | SmokeRealizedPnl::backfill | backfill() called once from run(); run() ends after prints — process exits
fathom/apps/smoke-realized-pnl/main.hl:155:31 | struct CostSlot | LOOP | SmokeRealizedPnl::backfill | same one-shot backfill over one CSV, then exit
fathom/apps/smoke-recon-readopt/main.hl:64:39 | struct OrdRec | INVOKED | ReconReadoptDrive::on_order_intent | OrdRec into fixed [OrdRec;8] capped by n_ord<8; run() sleeps ~14s and returns — process exits
fathom/lib/refdata/persist.hl:230:12 | struct rd::Asset | INVOKED | parse_asset_element | load_snapshot's only caller is smoke-refdata-persist (one-shot); insert bounded by one snapshot anyway
fathom/lib/refdata/persist.hl:243:12 | struct rd::Venue | INVOKED | parse_venue_element | clone: snapshot element parse, one-shot smoke caller only
fathom/lib/refdata/persist.hl:262:12 | struct rd::ContractType | INVOKED | parse_contract_type_element | clone: snapshot element parse, one-shot smoke caller only
fathom/lib/refdata/persist.hl:269:12 | struct rd::Contract | INVOKED | parse_contract_element | clone: snapshot element parse, one-shot smoke caller only
fathom/lib/trade-libs/risk/risk_gate.hl:223:32 | struct RiskBreach | INVOKED | RiskGate::check | RiskGate born only in breach-demo/backtest one-shots; NOTE latent slow leak (fresh s.symbol anchors per last_breach set) if a daemon adopts it
fathom/lib/trade-libs/risk/risk_gate.hl:243:32 | struct RiskBreach | INVOKED | RiskGate::check | clone of 223: latent string-anchor per assignment, but no long-lived caller exists
fathom/lib/trade-libs/risk/risk_gate.hl:258:32 | struct RiskBreach | INVOKED | RiskGate::check | clone of 223: latent string-anchor per assignment, but no long-lived caller exists
fathom/lib/trade-libs/risk/risk_gate.hl:296:32 | struct RiskBreach | INVOKED | RiskGate::check | clone of 223: latent string-anchor per assignment, but no long-lived caller exists
-- GAP-BUS-ESCAPE (7) --
fathom/lib/venues/binance/refdata/parse.hl:70:12 | struct rd::Contract | INVOKED | parse_symbol_object | returned Contract flows into RefDataUpdateBinance bus publish; reclaimed per dispatch
fathom/lib/venues/bybit/refdata/parse.hl:56:12 | struct rd::Contract | INVOKED | parse_pair_object | clone: returned Contract published as RefDataUpdateBybit; reclaimed per dispatch
fathom/lib/venues/coinbase/refdata/parse.hl:79:12 | struct rd::Contract | INVOKED | parse_product_response | clone: returned Contract published as RefDataUpdateCoinbase; reclaimed per dispatch
fathom/lib/venues/gateio/refdata/parse.hl:40:12 | struct rd::Contract | INVOKED | parse_pair_response | clone: returned Contract published as RefDataUpdateGateio; reclaimed per dispatch
fathom/lib/venues/hyperliquid/refdata/parse.hl:57:12 | struct rd::Contract | INVOKED | parse_universe_entry | clone: returned Contract published as RefDataUpdateHyperliquid; reclaimed per dispatch
fathom/lib/venues/kraken/refdata/parse.hl:136:12 | struct rd::Contract | INVOKED | parse_pair_object | clone: returned Contract published as RefDataUpdateKraken; reclaimed per dispatch
fathom/lib/venues/okx/refdata/parse.hl:43:12 | struct rd::Contract | INVOKED | parse_instrument | clone: returned Contract published as RefDataUpdateOkx; reclaimed per dispatch
-- GAP-BOUNDED-FORM (6) --
fathom/apps/theo/main.hl:996:33 | array-repeat | INVOKED | TheoCompute::curve4 | Local fixed [Float;4] repeat, capped by construction; handler scratch reclaimed per dispatch
pond/agent/conversation/conversation.hl:110:24 | struct Message | LOOP | Conversation::append | history is `bounded[Message; 128]` (line 67); eviction loop capped at 128; fallback literal is method-scratch
pond/pq/pool.hl:63:13 | vec-insert | LOOP | PgPool::open | fds population capped-by-construction at `size`; one-time open
pond/pq/pool.hl:64:13 | vec-insert | LOOP | PgPool::open | busy vec same cap
pond/tui/screen.hl:58:13 | vec-insert | LOOP | Screen::resize | push only while len<w*h; vec population monotonically capped at max terminal area, not time-unbounded
pond/tui/screen.hl:59:13 | vec-insert | LOOP | Screen::resize | same shape: prev vec capped at max terminal area
